,,,,,,,,,
,Item Sales Report (Outlet Name: Back Street Bassac),,,,,,,,
,Date From: 2025-12-01 06:00:00,,,,,,,,
,Date To: 2026-01-01 05:59:59,,,,,,,,
,"Generated Date: January 2, 2026, 2:21 PM",,,,,,,,
,,,,,,,,,
,Item Sales Report,,,,,,,,
,Category,Item Name,Dec 2025,Price,Discount,Bill Discount,Cost,Total Sales,Category Total
,FOOD,Buffalo Wings,19,84.825,0,0.675,0,85.5,
,FOOD,Parmesan chicken Spring Rolls,25,112.5,0,0,0,112.5,
,FOOD,French Fries -small,224,669.2983,0,2.7017,0,672,
,FOOD,French Fries-Large,74,368,0,2,0,370,
,FOOD,Chicken Tenders,19,90.25,0,0,0,90.25,
,FOOD,Extra Crab,2,4,0,0,0,4,
,Shakes & Frozens,Mix Fruit Shake,0,0,0,0,0,0,3.5
,Shakes & Frozens,Mix Fruit Smoothie,0,0,0,0,0,0,
,Shakes & Frozens,Dragon Fruit Shake,0,0,0,0,0,0,
,Shakes & Frozens,Passion Fruit Shake,0,0,0,0,0,0,
,Shakes & Frozens,Pineapple Shake,0,0,0,0,0,0,
,Shakes & Frozens,Watermelon Shake,0,0,0,0,0,0,
,Shakes & Frozens,Banana Shake,0,0,0,0,0,0,
,Shakes & Frozens,Mango Shake,0,0,0,0,0,0,
,Shakes & Frozens,Apple Shake,0,0,0,0,0,0,
,Shakes & Frozens,Orange Shake,1,3.5,0,0,0,3.5,
,Cigarettes,Mevius Sky Blue,11,33,0,0,0,33,320.25
,Cigarettes,Mevius Original,26,78,0,0,0,78,
,Cigarettes,Marlboro Light,14,35,0,0,0,35,
,Cigarettes,Marlboro Red,9,22.5,0,0,0,22.5,
,Cigarettes,Esse Light,0,0,0,0,0,0,
,Cigarettes,Esse Change,8,14.8,0.8,0.4,0,16,
,Cigarettes,Lighter,27,19.75,0,0.5,0,20.25,
,Cigarettes,MEVIUS kivami,0,0,0,0,0,0,
,Cigarettes,MEVIUS Winston,30,60,0,0,0,60,
,Cigarettes,MEVIUS midnight Chill,3,7.5,0,0,0,7.5,
,Cigarettes,Winston option Purple,1,2,0,0,0,2,
,Cigarettes,Esse Orange,19,38,0,0,0,38,
,Cigarettes,MEVIUS Orange,1,2,0,0,0,2,
,Cigarettes,Winston option Blue,3,6,0,0,0,6,
,Burgers & Wraps,Back Street's Wet Burger,0,0,0,0,0,0,0
,Burgers & Wraps,Thai Chicken Burger,0,0,0,0,0,0,
,Burgers & Wraps,BS' Beef Burger,0,0,0,0,0,0,
,Burgers & Wraps,Caesar Wrap,0,0,0,0,0,0,
,Burgers & Wraps,Tofu Veggie Wrap,0,0,0,0,0,0,
,Out Of Menu,Fruit Cake,0,0,0,0,0,0,0
,Out Of Menu,Fruit plate,0,0,0,0,0,0,
,Total Quantity / Sales,,11529,35663.3977,298.95,1240.4023,4611,37202.75,37202.75
,Total Quantity / Sales,,,,,,,,
,Modifier Sales Report,,,,,,,,
,Modifier Group,Modifier Name,Dec 2025,Price,Discount,Bill Discount,Cost,Total Sales,Group Total
,Sides,Extra Onion,0,0,0,0,0,0,0.5
,Sides,Extra Cheddar Cheese,0,0,0,0,0,0,
,Sides,Extra Pepperoni,0,0,0,0,0,0,
,Sides,No Pickles,0,0,0,0,0,0,
,Sides,Extra Mushroom,0,0,0,0,0,0,
,Sides,Extra Smoked Eggplant,0,0,0,0,0,0,
,Sides,Extra Tomato,0,0,0,0,0,0,
,Sides,Extra Pickles,0,0,0,0,0,0,
,Sides,Extra Caramelized Onion,0,0,0,0,0,0,
,Sides,Extra Mayonaise,0,0,0,0,0,0,
,Sides,Extra Tobasco,0,0,0,0,0,0,
,Sides,Extra Carrot Tarator,0,0,0,0,0,0,
,Sides,Extra Hummus,0,0,0,0,0,0,
,Sides,Extra Fresh Chilli,0,0,0,0,0,0,
,Sides,No Tomato,0,0,0,0,0,0,
,Sides,No Onion,0,0,0,0,0,0,
,Sides,No Sauce,0,0,0,0,0,0,
,Sides,No Cheese,0,0,0,0,0,0,
,Sides,No Mushroom,0,0,0,0,0,0,
,Sides,Extra Egg,1,0.5,0,0,0.5,0.5,
,Pizza Extras,Extra Onion,0,0,0,0,0,0,9
,Pizza Extras,Extra Cheddar Cheese,1,2,0,0,0,2,
