,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
,,Draft & Bottles,,Hoegaarden Wheat,Hoegaarden Wheat,Bottle,  62.00 ,0,18,  44 ,  40 ,  (4.00),  22.30 ,,  (4.96),  (27.26),  -   ,,,
New,,#N/A,,IZE,IZE,Cans,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,,  -   ,  -   ,Free of charged from Cambodia Beer,Item code and price set up ,
,,Whiskey,,Jack Daniels,Jack Daniels,Bottle,  7.00 ,8,,  15 ,  4 ,  (11.00),  -   ,  (206.25),,  (206.25),  150.00 ,Use For blending ,,
,,Shooters,,Jagermeifter,Jagermeister,Bottle,  7.00 ,12,,  19 ,  2 ,  (17.00),  -   ,  (199.75),,  (199.75),  141.00 ,Use For blending ,,
,,Bottles,,Jameson,Jameson Bottle,Bottle,  8.00 ,0,,  8 ,  4 ,  (4.00),  -   ,  (60.00),,  (60.00),  -   ,Use For blending ,,
,,Whiskey,,Jim Beam White,Jim Beam White,Bottle,  7.00 ,0,,  7 ,  5 ,  (2.00),  -   ,  (22.00),,  (22.00),  -   ,Use For blending ,,
,,,,Jinro,Jinro,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Whiskey,,Johnnie Walker Black Label,Johnnie Walker Black Label,Bottle,  3.00 ,2,,  5 ,  2 ,  (3.00),  -   ,  (90.00),,  (90.00),  60.00 ,,,
,,Liqueurs,,Kahlua,Kahlua,Bottle,  3.00 ,2,,  5 ,  4 ,  (1.00),  -   ,  (12.00),,  (12.00),  24.00 ,,,
,,Vodka,,Ketel One,Ketel One,Bottle,  4.00 ,0,,  4 ,  4 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
Water,,Soft Drinks,,Kulen 500ml,Kulen 500ml,Bottle,  71.00 ,600,523,  148 ,  137 ,  (11.00),  152.54 ,  (3.21),,  (155.75),  175.00 ,"Use For blending, used 557 Bottle but it is free of charged from Cambodia beer",,
,,Craft Beers,,Lemongrass Kolsch,Lemongrass Kolsch,Bottle,  17.00 ,0,9,  8 ,  6 ,  (2.00),  11.97 ,,  (2.66),  (14.63),  -   ,,,
,,#N/A,,Lychees Cans,Lychees Cans,Bottle,  11.00 ,12,,  23 ,  12 ,  (11.00),  -   ,  (27.50),,  (27.50),  30.00 ,Use For blending ,,
,,Whiskey,,Makers Mark,Makers Mark,Bottle,  2.00 ,1,,  3 ,  2 ,  (1.00),  -   ,  (24.50),,  (24.50),  24.50 ,Use For blending ,,
,,Liqueurs,,Malibu,Malibu,Bottle,  4.00 ,4,,  8 ,  7 ,  (1.00),  -   ,  (11.50),,  (11.50),  46.00 ,,,
,,Soft Drinks,,Mango juice,Mango juice,Bottle,  2.00 ,24,,  26 ,  4 ,  (22.00),  -   ,  (4.03),,  (4.03),  4.40 ,Consumption ,,
x,,Aperitifs,,Martini Bianco,Martini Bianco,Bottle,  1.00 ,1,,  2 ,  1 ,  (1.00),  -   ,  (11.00),,  (11.00),  11.00 ,Use For blending ,,
,,Aperitifs,,Martini Extra Dry,Martini Extra Dry,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Martini Rosso,Martini Rosso,Bottle,  1.00 ,1,,  2 ,  1 ,  (1.00),  -   ,  (11.00),,  (11.00),  11.00 ,,,
,,#N/A,,Merlot Cabernet,Merlot Cabernet,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
,,#N/A,,Midori,Midori,Bottle,  2.00 ,0,,  2 ,  3 ,  1.00 ,  -   ,  14.50 ,,  14.50 ,  -   ,,,
,,#N/A,,Ming Vodka,Ming Vodka,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
,,#N/A,,Monin Coconut,Monin Coconut,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Monin Mango,Monin Mango,Bottle,  3.00 ,0,,  3 ,  3 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Monin Passion,Monin Passion,Bottle,  2.00 ,0,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,,,Monin Guava,Monin Guava,Bottle,  1.00 ,0,0,  1 ,  1 ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Monin Vanila,Monin Vanila,Bottle,  1.00 ,0,0,  1 ,  1 ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Monin Grenadine,Monin Grenadine,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,#N/A,,Orange Curacao,Orange Curacao,Bottle,  4.00 ,2,,  6 ,  5 ,  (1.00),  -   ,  (8.50),,  (8.50),  17.00 ,Use For blending ,,
,Juice,Soft Drinks,,Orange juice,Orange juice,Bottle,  13.00 ,0,,  13 ,  6 ,  (7.00),  -   ,  (11.67),,  (11.67),  -   ,Use For blending ,,
,,#N/A,,PASTIS,PASTIS,Bottle,  1.00 ,1,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  5.00 ,,,
,,,,Partron silver 70cl,Partron silver 70cl,,  1.00 ,0,0,  1 ,  1 ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Pocari sweat bottle,Pocari sweat bottle,,  24.00 ,0,0,  24 ,  23 ,  (1.00),  -   ,,  (0.75),  (0.75),  -   ,,,
,,Aperitifs,,Pimm's,Pimms,Bottle,  2.00 ,0,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,Juice,Soft Drinks,,Pineapple juice,Pineapple juice,Bottle,  14.00 ,12,,  26 ,  19 ,  (7.00),  -   ,  (11.67),,  (11.67),  20.00 ,Use For blending ,,
,,#N/A,,Plantation Dark Rum,Plantation Dark Rum,Bottle,  2.00 ,0,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Prince Brewing - Coconager,Prince Brewing - Coconager,Bottle,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,,  -   ,  -   ,,,
,,#N/A,,ProSecco Rose ,Prosecco Rose Bottle,Bottle,  11.00 ,0,,  11 ,  11 ,  -   ,  -   ,  -   ,,  -   ,  -   ,"Over stock, but it might be wrong key in with white",,
,,#N/A,,"ProSecco White - Spumante Prosecco DOC Treviso ""Butterfly"" ",Prosecco White Bottle,Bottle,  20.00 ,0,,  20 ,  13 ,  (7.00),  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
,,#N/A,,Red Wine,Red Wine,,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Soft Drinks,,Redbull,Redbull,Bottle,  78.00 ,96,30,  144 ,  47 ,  (97.00),  13.75 ,  (44.46),,  (58.21),  44.00 ,Use For blending ,,
